890;Deutzer Friedhof
891;Schanzenstr.
892;Köln/Bonn Flughafen
893;Stand: 15:09 Uhr  
894;Stand: 15:09 Uhr  
895;Schumacherring
896;Stand: 15:09 Uhr  
897;Heinrich-Lübke-Ufer
898;Am Hochkreuz
899;Am Coloneum
900;CöllnParc
901;Voltastr.
902;Stand: 15:09 Uhr  
903;Sparkasse Am Butzweilerhof
904;Grüner Weg
905;Am Feldrain (Sürth)
906;Stand: 15:09 Uhr  
907;Stand: 15:09 Uhr  
908;Oper im Palladium
909;Celsiusstr.
910;Belvederestr.
911;Carlswerkstraße
912;Stand: 15:09 Uhr  
913;Volksgarten
914;Zugweg
915;Stand: 15:09 Uhr  
916;Paul-Nießen-Str.
917;Stand: 15:09 Uhr  
918;Im Rheintal
919;Lüderichstr.
920;Stand: 15:09 Uhr  
921;Stand: 15:09 Uhr  
922;Stand: 15:09 Uhr  
923;Stand: 15:09 Uhr  
924;Stand: 15:09 Uhr  
925;Stand: 15:09 Uhr  
926;Stand: 15:09 Uhr  
927;Stand: 15:09 Uhr  
928;Stand: 15:09 Uhr  
929;Stand: 15:09 Uhr  
930;Stand: 15:09 Uhr  
931;Stand: 15:09 Uhr  
932;Stand: 15:09 Uhr  
933;Stand: 15:09 Uhr  
934;Stand: 15:09 Uhr  
935;Stand: 15:09 Uhr  
936;Stand: 15:09 Uhr  
937;Stand: 15:09 Uhr  
938;Stand: 15:09 Uhr  
939;Stand: 15:09 Uhr  
940;Stand: 15:09 Uhr  
941;Stand: 15:09 Uhr  
942;Stand: 15:09 Uhr  
943;Stand: 15:09 Uhr  
944;Stand: 15:09 Uhr  
945;Stand: 15:09 Uhr  
946;Stand: 15:09 Uhr  
947;Stand: 15:09 Uhr  
948;Stand: 15:09 Uhr  
949;Stand: 15:09 Uhr  
950;Stand: 15:09 Uhr  
951;Stand: 15:09 Uhr  
952;Stand: 15:09 Uhr  
953;Stand: 15:09 Uhr  
954;Stand: 15:09 Uhr  
955;Stand: 15:09 Uhr  
956;Stand: 15:09 Uhr  
957;Stand: 15:09 Uhr  
958;Stand: 15:09 Uhr  
959;Stand: 15:09 Uhr  
960;Stand: 15:09 Uhr  
961;Stand: 15:09 Uhr  
962;Stand: 15:09 Uhr  
963;Stand: 15:09 Uhr  
964;Stand: 15:09 Uhr  
965;Stand: 15:09 Uhr  
966;Stand: 15:09 Uhr  
967;Stand: 15:09 Uhr  
968;Stand: 15:09 Uhr  
969;Stand: 15:09 Uhr  
970;Stand: 15:09 Uhr  
971;Stand: 15:09 Uhr  
972;Stand: 15:09 Uhr  
973;Stand: 15:09 Uhr  
974;Stand: 15:09 Uhr  
975;Stand: 15:09 Uhr  
976;IKEA Am Butzweilerhof
977;Stand: 15:09 Uhr  
978;Josephstr.
979;Katharinenhof
980;Stand: 15:09 Uhr  
981;Btf. Merheim
982;Stand: 15:09 Uhr  
983;Stand: 15:09 Uhr  
984;Stand: 15:09 Uhr  
985;Stand: 15:09 Uhr  
986;Stand: 15:09 Uhr  
987;Stand: 15:09 Uhr  
988;Stand: 15:09 Uhr  
989;Stand: 15:09 Uhr  
990;Stand: 15:09 Uhr  
991;Stand: 15:09 Uhr  
992;Stand: 15:09 Uhr  
993;Stand: 15:09 Uhr  
994;Stand: 15:09 Uhr  
995;Stand: 15:09 Uhr  
996;Stand: 15:09 Uhr  
997;Stand: 15:09 Uhr  
998;Stand: 15:09 Uhr  
999;Stand: 15:09 Uhr  
1000;Stand: 15:09 Uhr  
